
========================================
🚗 MARCA: Alfa Romeo (9 variante de model listate)
========================================
  - Giulia  (21 anunturi)
  - Compass Limited - 1368 Cm3  (1 anunturi)
  - Compass Longitude  (8 anunturi)
  - Compass Summit  (1 anunturi)
  - Compass Trailhawk  (1 anunturi)
  - Grand Cherokee  (44 anunturi)
  - Grand Cherokee 30Diesel  (1 anunturi)
  - Grand Cherokee Limited  (1 anunturi)
  - Grand Cherokee Overland  (3 anunturi)
  - Grand Cherokee Overland Perfecta De  (1 anunturi)
  - Grand Cherokee Summit  (1 anunturi)
  - Grand-Cherokee  (1 anunturi)
  - Renegade  (101 anunturi)
  - Renegade - - 70000Km - Euro 6  (1 anunturi)
  - Renegade - 70000Km  (1 anunturi)
  - Renegade 13T 4Xe At6  (4 anunturi)
  - Renegade 16  (1 anunturi)
  - Renegade In  (1 anunturi)
  - Renegade Jeep Renegade 13L  (1 anunturi)
  - Renegade Limited  (3 anunturi)
  - Renegade Longitude  (2 anunturi)
  - Renegade Night Eagle  (1 anunturi)
  - Renegade Sport  (1 anunturi)
  - Renegade Trailhawk  (1 anunturi)
  - Renegate  (1 anunturi)
  - Wrangler  (1 anunturi)
  - Wrangler Hard-Top  (1 anunturi)
  - Wrangler Rubicon  (1 anunturi)

========================================
🚗 MARCA: Kia (70 variante de model listate)
========================================
  - Carens  (5 anunturi)
  - Carnival  (2 anunturi)
  - Ceed  (197 anunturi)
  - Ceed -Iii  (1 anunturi)
  - Ceed 10T-Gdi Vindem In  (1 anunturi)
  - Ceed 7 Ani  (1 anunturi)
  - Ceed Best  (10 anunturi)
  - Ceed Ceed  (1 anunturi)
  - Ceed Gt  (6 anunturi)
  - Ceed Platinum  (1 anunturi)
  - Ceed Sportswagon  (2 anunturi)
  - Ceed Sw  (2 anunturi)
  - Ceed Ver-Sw-1-6-Gdi-Dct-Opf-Plug--In  (1 anunturi)
  - Ceed Vision  (1 anunturi)
  - Niro  (80 anunturi)
  - Niro 7  (2 anunturi)
  - Niro E-Niro  (1 anunturi)
  - Niro Hibryd  (1 anunturi)
  - Niro Spirit  (3 anunturi)
  - Niro Vision  (2 anunturi)
  - Optima  (14 anunturi)
  - Optima 1 7Crdi  (1 anunturi)
  - Optima Sportagon  (3 anunturi)
  - Optima Sportswagon  (1 anunturi)
  - Optima Vision  (1 anunturi)
  - Picanto  (149 anunturi)
  - Pro Ceed  (1 anunturi)
  - Proceed  (2 anunturi)
  - Proceed Gt  (1 anunturi)
  - Rio  (29 anunturi)
  - Rio Dream-Team  (1 anunturi)
  - Sorento  (49 anunturi)
  - Soul  (12 anunturi)
  - Soul Spirit  (1 anunturi)
  - Sportage  (546 anunturi)
  - Sportage -Iv  (4 anunturi)
  - Sportage 16  (1 anunturi)
  - Sportage 16Gdi  (1 anunturi)
  - Sportage 16Hybrid -Usor Avariata  (1 anunturi)
  - Sportage 16T-Gdi  (1 anunturi)
  - Sportage 20  (32 anunturi)
  - Sportage 4  (1 anunturi)
  - Sportage 7  (2 anunturi)
  - Sportage Attract  (1 anunturi)
  - Sportage Classic  (8 anunturi)
  - Sportage Dream-Team  (3 anunturi)
  - Sportage Euro 6  (1 anunturi)
  - Sportage Gt  (1 anunturi)
  - Sportage Iii  (1 anunturi)
  - Sportage Pe16 T-Gdi 7Dct  (1 anunturi)
  - Sportage Platinium  (1 anunturi)
  - Sportage Platinum  (5 anunturi)
  - Sportage Plus  (5 anunturi)
  - Sportage Premium  (4 anunturi)
  - Sportage Qle  (1 anunturi)
  - Sportage Spirit  (4 anunturi)
  - Sportage Vision  (5 anunturi)
  - Sportagepanoramicjbl4X2  (1 anunturi)
  - Sportge Iv  (1 anunturi)
  - Sportige  (1 anunturi)
  - Spotage 7Dct  (1 anunturi)
  - Spotige 16T-Gdi  (1 anunturi)
  - Stonic  (70 anunturi)
  - Venga  (2 anunturi)
  - Xceed  (105 anunturi)
  - Xceed Automatic  (1 anunturi)
  - Xceed City  (3 anunturi)
  - Xceed Platinum  (6 anunturi)
  - Xceed Spirit  (7 anunturi)
  - Xceed Vision  (4 anunturi)

========================================
🚗 MARCA: Land Rover (31 variante de model listate)
========================================
  - Discovery  (21 anunturi)
  - Discovery 5  (2 anunturi)
  - Discovery 5 Hse  (1 anunturi)
  - Discovery Sport  (163 anunturi)
  - Discovery Sport - Range Rover  (1 anunturi)
  - Discovery Sport 7 Locuri  (1 anunturi)
  - Discovery Sport Echipare Hse 44  (1 anunturi)
  - Discovery Sport Hse  (18 anunturi)
  - Discovery Sport Mark Iii - I4X4  (1 anunturi)
  - Discovery Sport Pure  (2 anunturi)
  - Discovery Sport Se  (5 anunturi)
  - Evoque  (81 anunturi)
  - Freelander  (2 anunturi)
  - Range Rover  (11 anunturi)
  - Range Rover Evoque  (94 anunturi)
  - Range Rover Evoque Dynamic  (1 anunturi)
  - Range Rover Evoque Hse  (3 anunturi)
  - Range Rover Evoque Hse Dynamic  (2 anunturi)
  - Range Rover Evoque Pure  (1 anunturi)
  - Range Rover Evoque R-Dynamic  (4 anunturi)
  - Range Rover Evoque S  (1 anunturi)
  - Range Rover Evoque Se  (2 anunturi)
  - Range Rover Evoque Se Dynamic  (2 anunturi)
  - Range Rover Evoque Ver  (1 anunturi)
  - Range Rover Evoque Ver-Convertible-2-0-L-Td4-Se-Dynamic  (1 anunturi)
  - Range Rover Hse  (2 anunturi)
  - Range Rover Hse Dynamic  (3 anunturi)
  - Range Rover Sport  (42 anunturi)
  - Range Rover Sport Visiniu Impecabila  (1 anunturi)
  - Range Rover Velar  (1 anunturi)
  - Range Rover Vogue  (1 anunturi)

========================================
🚗 MARCA: Lexus (36 variante de model listate)
========================================
  - 300H  (1 anunturi)
  - Ct  (6 anunturi)
  - Ct 200H  (1 anunturi)
  - Ct 200H Limited  (1 anunturi)
  - Ct Limited  (2 anunturi)
  - Es  (1 anunturi)
  - Es300 H Cum Se Vede  (1 anunturi)
  - Gs  (3 anunturi)
  - Gs300H  (1 anunturi)
  - Is  (8 anunturi)
  - Is 200T  (1 anunturi)
  - Is 300H Executive  (1 anunturi)
  - Is300H  (1 anunturi)
  - Is300H Executive Line  (1 anunturi)
  - Is300H Sport Line  (1 anunturi)
  - Nx  (7 anunturi)
  - Nx300 4X2  (1 anunturi)
  - Nx300H  (3 anunturi)
  - Nx300H E-Four Line  (1 anunturi)
  - Nx300H Sport Line  (1 anunturi)
  - Rx  (4 anunturi)
  - Seria Gs  (1 anunturi)
  - Seria Is  (1 anunturi)
  - Seria Is 300H Executive Plus  (1 anunturi)
  - Seria Is 300H F Sport  (1 anunturi)
  - Seria Is Line  (1 anunturi)
  - Seria Nx 200T Executive Plus  (1 anunturi)
  - Seria Nx 200T F Sport Premium  (2 anunturi)
  - Seria Nx 300H  (3 anunturi)
  - Seria Nx 300H E-Four  (1 anunturi)
  - Seria Nx 300H Line  (1 anunturi)
  - Seria Rx 450H  (2 anunturi)
  - Ux  (8 anunturi)
  - Ux 250H  (4 anunturi)
  - Ux 250H Fwd  (2 anunturi)
  - Ux 300E  (1 anunturi)

========================================
🚗 MARCA: MG (23 variante de model listate)
========================================
  - Auto  (1 anunturi)
  - Ehs  (13 anunturi)
  - Ehs 15T-Gdi  (6 anunturi)
  - Hs  (30 anunturi)
  - Hs 15T-Gdi  (1 anunturi)
  - Hs Excite  (1 anunturi)
  - Hs Plug-In  (1 anunturi)
  - Mg3  (73 anunturi)
  - Mg3 15L Mt Explore  (1 anunturi)
  - Mg3 3  (2 anunturi)
  - Mg3 Excite  (4 anunturi)
  - Mg3 Explore  (1 anunturi)
  - Mg4  (42 anunturi)
  - Mg4 4 64 Kwh  (1 anunturi)
  - Mg4 4 Standard  (1 anunturi)
  - Mg4 Mg4  (1 anunturi)
  - Mg5  (4 anunturi)
  - Mg5 5 Standard  (1 anunturi)
  - Zs  (121 anunturi)
  - Zs Excite  (5 anunturi)
  - Zs Exlusive  (1 anunturi)
  - Zs Ice  (5 anunturi)
  - Zs Ice 15I  (1 anunturi)

========================================
🚗 MARCA: Maserati (2 variante de model listate)
========================================
  - Ghibli  (4 anunturi)
  - Levante  (1 anunturi)

========================================
🚗 MARCA: Mazda (156 variante de model listate)
========================================
  - 2  (48 anunturi)
  - 2 -Line  (2 anunturi)
  - 2 Center-Line  (1 anunturi)
  - 2 G116 Cvt Hev Centre-Line  (1 anunturi)
  - 2 Prime-Line  (1 anunturi)
  - 2 Skyactiv G115  (1 anunturi)
  - 2 Skyactiv-D  (2 anunturi)
  - 2 Skyactive  (1 anunturi)
  - 2 Skyactyve  (1 anunturi)
  - 3  (158 anunturi)
  - 3 - Skyactiv G 6At  (1 anunturi)
  - 3 -Iv  (1 anunturi)
  - 3 -Line  (3 anunturi)
  - 3 Avariata  (1 anunturi)
  - 3 Black Limited  (1 anunturi)
  - 3 Cd150 At Revolution  (1 anunturi)
  - 3 Cd150 Attraction  (1 anunturi)
  - 3 Cd150 Revolution  (2 anunturi)
  - 3 Cd150 Tx Plus  (1 anunturi)
  - 3 Center-Line  (1 anunturi)
  - 3 E-Skyactiv G Mild  (1 anunturi)
  - 3 E-Skyactiv G122  (5 anunturi)
  - 3 E-Skyactiv G122 At  (2 anunturi)
  - 3 E-Skyactiv X186  (1 anunturi)
  - 3 E-Skyactiv X186 At  (2 anunturi)
  - 3 E-Skyactiv-G  (1 anunturi)
  - 3 Euro 6  (1 anunturi)
  - 3 Euro 6 Fabr  (1 anunturi)
  - 3 G100 Challenge  (1 anunturi)
  - 3 G120 At Attraction  (1 anunturi)
  - 3 G120 At Revolution  (1 anunturi)
  - 3 G120 Challenge  (2 anunturi)
  - 3 G120 Revolution  (2 anunturi)
  - 3 G122  (1 anunturi)
  - 3 G122 At  (2 anunturi)
  - 3 G122 At Plus  (1 anunturi)
  - 3 G122 Mild  (1 anunturi)
  - 3 Gt  (1 anunturi)
  - 3 Gt Plus Mildhybrid  (1 anunturi)
  - 3 Propietar  (1 anunturi)
  - 3 Skyactiv X - Gt Plus  (1 anunturi)
  - 3 Skyactiv Xat Gt Plus  (1 anunturi)
  - 3 Skyactiv-D  (10 anunturi)
  - 3 Skyactiv-G  (5 anunturi)
  - 3 Skyactiv-X  (1 anunturi)
  - 3 Skyactive  (1 anunturi)
  - 3 Skyactive X Aniversary  (1 anunturi)
  - 3 Sports-Line  (1 anunturi)
  - 3 X180  (2 anunturi)
  - 5  (3 anunturi)
  - 5 Cd116 Takumi  (1 anunturi)
  - 6  (108 anunturi)
  - 6 -Line  (1 anunturi)
  - 6 22D175Cp6At  (1 anunturi)
  - 6 22Diesel  (1 anunturi)
  - 6 22L Skyactiv-D  (1 anunturi)
  - 6 Cd150 At Attraction  (3 anunturi)
  - 6 Cd150 Revolution  (1 anunturi)
  - 6 Cd163 Gta  (1 anunturi)
  - 6 Cd175 At Revolution  (1 anunturi)
  - 6 Cd175 At Revolution Top  (9 anunturi)
  - 6 Cd175 Revolution Top  (1 anunturi)
  - 6 Cd184 At Takumi Plus  (1 anunturi)
  - 6 Cumparata Din Romania Nu Are Raport Carvertical Verificare  (1 anunturi)
  - 6 G165 Revolution  (1 anunturi)
  - 6 G192 At Revolution Top  (2 anunturi)
  - 6 G194 At Takumi Plus  (1 anunturi)
  - 6 Masina Personala Mazda Reali Ultima Revizie Dec2025  (1 anunturi)
  - 6 Prime-Line  (1 anunturi)
  - 6 Revolution Top  (1 anunturi)
  - 6 Sky  (1 anunturi)
  - 6 Skyactiv G194 At -Line  (1 anunturi)
  - 6 Skyactiv-D  (3 anunturi)
  - 6 Skyactiv-D Drive  (1 anunturi)
  - 6 Skyactiv-G  (1 anunturi)
  - 6 Skyactive  (1 anunturi)
  - 6 Sports-Line  (3 anunturi)
  - Cx 3 Skyactive  (1 anunturi)
  - Cx 30 Skyactive X  (2 anunturi)
  - Cx 5  (3 anunturi)
  - Cx 5 Scaune Incalzite - Volan Incalzit  (1 anunturi)
  - Cx 5 Scaune Incalzite - Volan Incalzit Impecabila  (1 anunturi)
  - Cx 5 Volan Incalzit Scaune Incalzite  (1 anunturi)
  - Cx-3  (72 anunturi)
  - Cx-3 Bine Intretinuta Kilometrii Reali -45361  (1 anunturi)
  - Cx-3 Cd105 At Revolution  (1 anunturi)
  - Cx-3 Cd105 At Revolution Top  (3 anunturi)
  - Cx-3 Cd105 Attraction  (3 anunturi)
  - Cx-3 Cd105 Challenge  (2 anunturi)
  - Cx-3 G120 Attraction  (1 anunturi)
  - Cx-3 G121 4X2 At Takumi Plus  (1 anunturi)
  - Cx-3 G121 4X2 Takumi  (2 anunturi)
  - Cx-3 G150 At Revolution  (2 anunturi)
  - Cx-3 G150 At Revolution Top  (4 anunturi)
  - Cx-3 Revolution Top Skyactiv G  (1 anunturi)
  - Cx-3 Selection  (1 anunturi)
  - Cx-3 Skyactiv-D  (12 anunturi)
  - Cx-3 Skyactiv-G  (6 anunturi)
  - Cx-3 Sports-Line  (2 anunturi)
  - Cx-3 Takumi-Line  (3 anunturi)
  - Cx-30  (35 anunturi)
  - Cx-30 -Line  (1 anunturi)
  - Cx-30 53000Km Cumparata De Noua Din  (1 anunturi)
  - Cx-30 E-Skyactiv G122  (2 anunturi)
  - Cx-30 E-Skyactiv G150  (1 anunturi)
  - Cx-30 E-Skyactiv G150 At  (1 anunturi)
  - Cx-30 E-Skyactiv-G  (1 anunturi)
  - Cx-30 E-Skyactiv-X  (1 anunturi)
  - Cx-30 E-Skyactive X  (1 anunturi)
  - Cx-30 G122 Skyactiv  (1 anunturi)
  - Cx-30 Gt Skyactive G 20I  (1 anunturi)
  - Cx-30 Skyactiv-D  (1 anunturi)
  - Cx-30 Skyactiv-G  (2 anunturi)
  - Cx-30 X180  (1 anunturi)
  - Cx-5  (177 anunturi)
  - Cx-5 -Line  (3 anunturi)
  - Cx-5 20I At Attraction  (1 anunturi)
  - Cx-5 20I Revolution  (1 anunturi)
  - Cx-5 22D  (2 anunturi)
  - Cx-5 Cd150 4X2 At Attraction  (1 anunturi)
  - Cx-5 Cd150 At Attraction  (1 anunturi)
  - Cx-5 Cd150 Attraction  (5 anunturi)
  - Cx-5 Cd150 Takumi  (1 anunturi)
  - Cx-5 Cd175 At Revolution  (1 anunturi)
  - Cx-5 Cd175 At Revolution Plus  (1 anunturi)
  - Cx-5 Cd175 At Revolution Top  (11 anunturi)
  - Cx-5 G165 Challenge  (1 anunturi)
  - Cx-5 G192 At Revolution Top  (1 anunturi)
  - Cx-5 G194 At Revolution Top  (1 anunturi)
  - Cx-5 Homura-Line  (2 anunturi)
  - Cx-5 Nakama Intense  (1 anunturi)
  - Cx-5 Sky  (1 anunturi)
  - Cx-5 Skyactiv D150 At -Line  (2 anunturi)
  - Cx-5 Skyactiv D184 At -Line  (2 anunturi)
  - Cx-5 Skyactiv Vand- Teren Agricol Platforma Auto Doka-Platforma Tiny House Vlemmix  (1 anunturi)
  - Cx-5 Skyactiv-D  (23 anunturi)
  - Cx-5 Skyactiv-G  (2 anunturi)
  - Cx-5 Sports-Line  (11 anunturi)
  - Cx-7  (1 anunturi)
  - Cx3  (1 anunturi)
  - Cx5  (3 anunturi)
  - Cx5 Skyactiv D  (1 anunturi)
  - Mazda 3  (1 anunturi)
  - Mx 5 20L  (1 anunturi)
  - Mx-3  (1 anunturi)
  - Mx-30  (38 anunturi)
  - Mx-30 E-Skyactiv  (1 anunturi)
  - Mx-30 E-Skyactiv First  (1 anunturi)
  - Mx-30 E-Skyactiv Gt Plus  (1 anunturi)
  - Mx-30 Gt Plus  (1 anunturi)
  - Mx-5  (4 anunturi)
  - Mx-5 G130 Revolution  (1 anunturi)
  - Mx-5 Skyactiv-G  (1 anunturi)
  - Mx30  (2 anunturi)
  - Mx30 -Line  (1 anunturi)
  - Skyactiv Cx-5  (1 anunturi)

========================================
🚗 MARCA: Mercedes-Benz (66 variante de model listate)
========================================
  - A  (120 anunturi)
  - A 45 Speedshift 7G-Dct  (1 anunturi)
  - A Class 200Cdi  (1 anunturi)
  - A200D  (1 anunturi)
  - B  (21 anunturi)
  - B Drive  (1 anunturi)
  - B180 Cdi  (1 anunturi)
  - B250  (1 anunturi)
  - C  (169 anunturi)
  - C -W205  (1 anunturi)
  - C 7G- Tronic Plus  (1 anunturi)
  - C Class W205 Euro 6  (1 anunturi)
  - C Ver  (1 anunturi)
  - C-Class 9 G-Tronic 4 Matic Panoramic  (1 anunturi)
  - C200 Euro6  (1 anunturi)
  - Citan  (17 anunturi)
  - Citan Extralang  (1 anunturi)
  - Citan Lang  (1 anunturi)
  - Citan Lung  (1 anunturi)
  - Cla  (142 anunturi)
  - Cla -C117  (1 anunturi)
  - Cla -C118  (1 anunturi)
  - Cla D Shooting Brake 7G-Dct Line  (1 anunturi)
  - Cla Line  (1 anunturi)
  - Cla Shooting Brake  (1 anunturi)
  - Cla Ver  (4 anunturi)
  - Clasa A  (89 anunturi)
  - Clasa B  (19 anunturi)
  - Clasa C  (111 anunturi)
  - Clasa E  (35 anunturi)
  - Clasa Ml  (5 anunturi)
  - Clasa S  (2 anunturi)
  - Clasa X  (1 anunturi)
  - Cls  (10 anunturi)
  - Cls Shooting Brake  (1 anunturi)
  - E  (55 anunturi)
  - E -W213  (1 anunturi)
  - E 350E 9G-Tronic  (1 anunturi)
  - E Class  (1 anunturi)
  - E200  (1 anunturi)
  - E200 Cdi  (1 anunturi)
  - Eqe  (1 anunturi)
  - Gl  (1 anunturi)
  - Gla  (108 anunturi)
  - Gla -X156  (1 anunturi)
  - Glb  (1 anunturi)
  - Glc  (72 anunturi)
  - Glc -I  (2 anunturi)
  - Glc220D  (1 anunturi)
  - Gle  (4 anunturi)
  - Glk  (9 anunturi)
  - Gls  (1 anunturi)
  - Ml  (9 anunturi)
  - Ml350 Airmatic  (1 anunturi)
  - Sl 43  (1 anunturi)
  - Slc  (2 anunturi)
  - Slk  (1 anunturi)
  - Sprinter  (18 anunturi)
  - Sprinter Lang Ha  (1 anunturi)
  - V  (1 anunturi)
  - Viano  (2 anunturi)
  - Vito  (40 anunturi)
  - Vito Evito Tourer Extralang Pro  (1 anunturi)
  - Vito Mix E Fwd  (1 anunturi)
  - Vito Mixto Lang Ha Pro  (1 anunturi)
  - Vito Tourer Lang  (1 anunturi)

========================================
🚗 MARCA: Mini (58 variante de model listate)
========================================
  - Auto Aixam 16 Ani Euro 5 Aer Conditionat  (1 anunturi)
  - Clubman  (8 anunturi)
  - Clubman 15D Black  (1 anunturi)
  - Clubman Black 165000Km  (1 anunturi)
  - Clubman Cooper D  (1 anunturi)
  - Clubman Cooper S  (1 anunturi)
  - Clubman One  (1 anunturi)
  - Clubman One D Yours Trim  (1 anunturi)
  - Cooper  (90 anunturi)
  - Cooper Classic  (1 anunturi)
  - Cooper Classic Trim  (1 anunturi)
  - Cooper Clubman  (1 anunturi)
  - Cooper Countryman  (4 anunturi)
  - Cooper D 60 Years  (1 anunturi)
  - Cooper John Works Trim  (1 anunturi)
  - Cooper One  (1 anunturi)
  - Cooper One D4 Usipachet Pepper-Prima Propr In  (1 anunturi)
  - Cooper One F56  (1 anunturi)
  - Cooper S  (18 anunturi)
  - Cooper S 60 Years  (1 anunturi)
  - Cooper S All4 Countryman  (2 anunturi)
  - Cooper S F56  (1 anunturi)
  - Cooper S Klima Radio Boost Sportsitze  (1 anunturi)
  - Cooper S Rosu  (1 anunturi)
  - Cooper S Seven Chili  (1 anunturi)
  - Cooper S Sport  (3 anunturi)
  - Cooper Sd Hyde Park  (1 anunturi)
  - Cooper Sd Sport  (1 anunturi)
  - Cooper Sd Sport- Seven  (1 anunturi)
  - Cooper Se  (3 anunturi)
  - Cooper Se Impecabila Achizitionata Din Romania  (1 anunturi)
  - Cooper Standard  (2 anunturi)
  - Countryman  (25 anunturi)
  - Countryman Cooper  (1 anunturi)
  - Countryman Cooper All4 At  (1 anunturi)
  - Countryman Cooper D  (3 anunturi)
  - Countryman Cooper D All4  (1 anunturi)
  - Countryman Cooper D All4 At  (2 anunturi)
  - Countryman Cooper D At  (1 anunturi)
  - Countryman Cooper S All4  (1 anunturi)
  - Countryman Cooper S E All4  (1 anunturi)
  - Countryman Cooper Sd  (1 anunturi)
  - Countryman Cooper Sd All4  (1 anunturi)
  - Countryman Cooper Sd All4 Park Lane Chili  (1 anunturi)
  - Countryman D All 4  (1 anunturi)
  - Countryman F60  (1 anunturi)
  - Countryman One Classic Trim  (1 anunturi)
  - Countryman S All4  (1 anunturi)
  - Countryman Sd All4  (1 anunturi)
  - D Clubman 165000Km  (1 anunturi)
  - Electricse Nivel Echipare M 22500Km Perfecta Si Roti Iarna Noi Originale  (1 anunturi)
  - One  (9 anunturi)
  - One Classic Trim  (1 anunturi)
  - One Cooper  (1 anunturi)
  - One Countryman  (1 anunturi)
  - One D  (2 anunturi)
  - One Standard  (3 anunturi)
  - Paceman Cooper S All4  (1 anunturi)

========================================
🚗 MARCA: Mitsubishi (52 variante de model listate)
========================================
  - Asx  (68 anunturi)
  - Asx 18D  (2 anunturi)
  - Asx Classic Collection  (1 anunturi)
  - Asx Diamant  (2 anunturi)
  - Asx Intense  (1 anunturi)
  - Asx Invite  (2 anunturi)
  - Asx Plus  (1 anunturi)
  - Colt  (36 anunturi)
  - Colt Intense  (1 anunturi)
  - Eclipse  (9 anunturi)
  - Eclipse Cross  (5 anunturi)
  - Eclipse Cross Diamant  (1 anunturi)
  - Eclipse Cross Inform  (1 anunturi)
  - Eclipse Cross Instyle  (1 anunturi)
  - Eclipse Cross Intense  (1 anunturi)
  - Eclipse Cross Plus  (2 anunturi)
  - Eclipse Cross Select  (1 anunturi)
  - Eclipse-Cross  (16 anunturi)
  - Eclipse-Cross Intro  (1 anunturi)
  - Eclipse-Cross Plus  (1 anunturi)
  - Eclipse-Cross Select Black  (1 anunturi)
  - Eclipse-Cross Ver-1-5-T--Mivec-Cleartec-2Wd-Activeplus  (1 anunturi)
  - Fuso Canter 7C18  (1 anunturi)
  - L200  (9 anunturi)
  - L200 Double Cab  (2 anunturi)
  - L200 Double Cab Instyle  (1 anunturi)
  - L200 Double Cab Mt Instyle  (2 anunturi)
  - L200 Double Cab Mt Intense  (1 anunturi)
  - L200 Double Cab Mt Invite  (1 anunturi)
  - L200 Instyle  (2 anunturi)
  - L200 Invite  (1 anunturi)
  - L200 Pick Up Intense Double Cab  (1 anunturi)
  - Lancer  (2 anunturi)
  - Outlander  (70 anunturi)
  - Outlander -Iii  (6 anunturi)
  - Outlander 20L Asg Cvt Instyle  (1 anunturi)
  - Outlander 20L Asg Cvt Intense  (1 anunturi)
  - Outlander 20L Instyle  (1 anunturi)
  - Outlander 22L Di-D 6At Intense A04  (1 anunturi)
  - Outlander Intense  (2 anunturi)
  - Outlander Invite  (2 anunturi)
  - Outlander P-Hev  (5 anunturi)
  - Outlander P-Hev Diamant  (2 anunturi)
  - Outlander P-Hev Instyle  (3 anunturi)
  - Outlander P-Hev Top  (1 anunturi)
  - Pe  (1 anunturi)
  - Qutlander  (1 anunturi)
  - Space Star  (37 anunturi)
  - Space Star 12 Invite  (1 anunturi)
  - Space Star Intense  (1 anunturi)
  - Space Star Invite  (1 anunturi)
  - Space Star Select  (1 anunturi)

========================================
🚗 MARCA: Nissan (76 variante de model listate)
========================================
  - Juke  (258 anunturi)
  - Juke 15L  (3 anunturi)
  - Juke 16L  (4 anunturi)
  - Juke 16L Cvt  (1 anunturi)
  - Juke 360  (1 anunturi)
  - Juke Caroserie  (1 anunturi)
  - Juke Decross  (2 anunturi)
  - Juke Dig-T  (10 anunturi)
  - Juke Dig-T Dct  (2 anunturi)
  - Juke Dig-T Dct N  (1 anunturi)
  - Juke Nismo  (1 anunturi)
  - Juke S  (1 anunturi)
  - Juke Tenka Unicast-Extrafull  (1 anunturi)
  - Leaf  (54 anunturi)
  - Leaf 30 Kwh  (1 anunturi)
  - Leaf 40 Kwh  (7 anunturi)
  - Leaf 40Kwh  (1 anunturi)
  - Leaf 62 Kwh E  (2 anunturi)
  - Micra  (23 anunturi)
  - Micra 10L  (1 anunturi)
  - Micra 12I  (1 anunturi)
  - Micra Ig-T  (1 anunturi)
  - Micra Ig-T Cvt N  (1 anunturi)
  - Micra K14  (1 anunturi)
  - Micra N- 10L Ig-T  (1 anunturi)
  - Murano  (2 anunturi)
  - Navara  (27 anunturi)
  - Navara 360  (1 anunturi)
  - Navara Bi Turbo Double Cab  (1 anunturi)
  - Navara Double Cab  (1 anunturi)
  - Navara Dpf  (1 anunturi)
  - Navara Dpf Autm Lb Le  (1 anunturi)
  - Navara Pick-Up 23Td  (1 anunturi)
  - Note  (4 anunturi)
  - Nv200  (1 anunturi)
  - Pulsar  (15 anunturi)
  - Pulsar Dig-T X-Tronic Stopstart  (2 anunturi)
  - Qaschai Impecab  (1 anunturi)
  - Qashqai  (858 anunturi)
  - Qashqai -Ii  (2 anunturi)
  - Qashqai 12L  (1 anunturi)
  - Qashqai 15  (1 anunturi)
  - Qashqai 15D  (4 anunturi)
  - Qashqai 16Dci  (2 anunturi)
  - Qashqai 16L  (2 anunturi)
  - Qashqai 17D  (4 anunturi)
  - Qashqai 360  (2 anunturi)
  - Qashqai 5Dr 16L  (1 anunturi)
  - Qashqai Dig-T Startstop  (1 anunturi)
  - Qashqai J11  (1 anunturi)
  - Qashqai J11 16D  (1 anunturi)
  - Qashqai N Connecta N Tech  (2 anunturi)
  - Qashqai N-Conecta  (1 anunturi)
  - Qashqai N-Vision  (1 anunturi)
  - Qashqai N-Way  (2 anunturi)
  - Qashqai Panoramic  (1 anunturi)
  - Qashqai Prima Inmatriculare Mai  (1 anunturi)
  - Qashqai Pure  (1 anunturi)
  - Qashqai Shiro  (1 anunturi)
  - Qashqhai  (1 anunturi)
  - Qasqhai  (1 anunturi)
  - Quasqai  (1 anunturi)
  - Rogue  (1 anunturi)
  - X Trail T32  (1 anunturi)
  - X-Trail  (190 anunturi)
  - X-Trail - De Viteza Euro 6  (1 anunturi)
  - X-Trail 16L  (12 anunturi)
  - X-Trail 17D  (4 anunturi)
  - X-Trail 20D Startstop -I  (2 anunturi)
  - X-Trail 360  (2 anunturi)
  - X-Trail All Mode -I N-Tech  (1 anunturi)
  - X-Trail Dig-T Stopstart  (1 anunturi)
  - X-Trail Euro 6  (1 anunturi)
  - X-Trail N-Vision  (2 anunturi)
  - X-Trail Nissan X-Trail  (1 anunturi)
  - Xtrail  (1 anunturi)

========================================
🚗 MARCA: Opel (184 variante de model listate)
========================================
  - Adam  (9 anunturi)
  - Adam 40  (1 anunturi)
  - Antara  (22 anunturi)
  - Antara 22Cdti Euro 5  (1 anunturi)
  - Asta J  (2 anunturi)
  - Asta K  (1 anunturi)
  - Astra  (787 anunturi)
  - Astra -J  (1 anunturi)
  - Astra 12L Turbo Startstop At8  (5 anunturi)
  - Astra 14  (1 anunturi)
  - Astra 1408  (3 anunturi)
  - Astra 15D  (1 anunturi)
  - Astra 15L Startstop  (1 anunturi)
  - Astra 15L Startstop At8  (2 anunturi)
  - Astra 16I Essentia  (1 anunturi)
  - Astra 16L Turbo  (1 anunturi)
  - Astra Aspirat  (1 anunturi)
  - Astra Cosmo  (2 anunturi)
  - Astra Drive  (1 anunturi)
  - Astra Dynamic  (9 anunturi)
  - Astra Energy  (2 anunturi)
  - Astra Enjoy  (8 anunturi)
  - Astra Essentia  (1 anunturi)
  - Astra Euro 6  (1 anunturi)
  - Astra Excellence  (1 anunturi)
  - Astra Excite  (2 anunturi)
  - Astra Exklusiv  (2 anunturi)
  - Astra Innovation  (5 anunturi)
  - Astra J  (35 anunturi)
  - Astra J 16  (1 anunturi)
  - Astra J 16Cdti  (4 anunturi)
  - Astra J 16I  (2 anunturi)
  - Astra J Turbo  (1 anunturi)
  - Astra K  (42 anunturi)
  - Astra K - 31  (2 anunturi)
